,diff,phi_cont,apar_cont,diff/abs,directory,suffix,omega,gamma,QEM/QES_e,QEM/QES_i,QESi/QESe,QEMi/QEMe,Gammae/Qe
0,1659.7219694562182,1460.6752592939429,1653.719981853138,0.5329195047334186,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0000,0007,-1.636,0.125,173.69673058512956,0.31371342954025705,1.839372225929042,0.0033220876826722335,1.177076383046619
1,1930.6220247103388,1570.6756140917928,1958.4355310123724,0.5470561694801354,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0000,0008,-1.593,0.08,257.99161894732225,0.49687919643336736,2.0422782421729306,0.003933327663917,1.2939731016476888
2,1028.538110855126,1128.9869601560758,1508.6472063556716,0.3899472200935888,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0000,0013,-4.088,0.415,54.49255902428108,0.4432310931542708,0.9831598970571779,0.007996817248459959,0.7752601544142329
3,2207.310657843687,2625.0459631767717,2638.8502064635277,0.4193302046066992,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0000,0015,-2.859,0.071,76.78821376018377,-0.11392283301863265,5.0369665865125794,-0.007472833072375032,1.830025481821771
4,2206.868091481958,2624.1196972558564,2638.3244792644086,0.4193618055519643,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0000,0016,-2.86,0.071,76.86159023979806,-0.11395888473949457,5.044904977044503,-0.0074798315128150215,1.8325986354740174
5,2286.1696654516845,1089.147509170536,2594.643398236176,0.6206024508218045,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0000,0017,-3.269,0.125,-1608.214395334561,3.5073100522687675,-2.532420196439533,0.005522884782842079,-2.283417740945365
6,2204.812702478048,2622.010356245775,2636.8429933852817,0.4192573087501537,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0000,0018,-2.86,0.071,76.9566270898958,-0.11399645939367117,5.053773461818046,-0.007486194535942647,1.835492348698067
7,3162.047500314071,2177.718468153766,3398.789070817884,0.5670300771972374,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0001,0001,-4.807,0.602,30.149039839495558,4.091946241412166,0.05715391229578676,0.0077571537218366765,0.06732229865290915
8,3050.6647478349364,1894.4389029948645,3321.389782359407,0.5848859178218443,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0001,0002,-4.847,0.49,43.745401761746635,4.676568195419183,0.07309856634387862,0.007814545454545454,0.09862599669921059
9,2857.209619683393,1778.934742682171,2982.8625543500275,0.6000275613294492,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0001,0007,-4.927,0.078,18.401773215118993,3.319543973941368,0.07162855809612693,0.01292126283758083,0.024362264737906363
10,20021.611281654667,8705.587611520239,19219.833286977617,0.7169672161586527,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0001,0013,-11.121,0.255,51.50926510844389,-121.51745284700681,-0.002952937460518004,0.006966386296973846,-0.036926721415034745
11,21178.42956801029,8588.282676519153,20590.53674432414,0.7258151627917445,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0001,0014,-11.134,0.178,73.54136776661885,-70.58629232039637,-0.006515423242467719,0.006253617298000325,-0.03199426111908178
12,617.1024351381503,617.10243513726,1.8391513879659583e-09,0.9999999999984625,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0001,0015,0.0,0.0,1.6717940729779197,0.15164102175396044,8.562768539792566,0.7766907368584518,1.1131014966834119
13,611.893771293202,611.8937712923166,1.8349548426105636e-09,0.9999999999984482,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0001,0016,0.0,0.0,1.7616622092007472,0.1509588714247368,9.012324109290791,0.7722764723832773,1.1511148144663808
14,471.08335361040326,471.0833536092756,4.63475115204926e-09,0.9999999999925553,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0001,0017,0.0,0.0,73.47202822906712,0.02165944604001363,-6.040726310372713,-0.0017807972464580165,-0.12586194221862826
15,601.7869133893284,601.7869133884523,1.828340487254558e-09,0.9999999999984178,/pscratch/sd/j/joeschm/NSXTU_discharges/132588/r_0.736_q4_MTM_mode/convergence_check/nz0_hpyz_edgeopt_scans/nz0_1024_edgeopt_04/scanfiles0001,0018,0.0,0.0,1.8518053462804844,0.15045671196895244,9.454629164573916,0.768175996383636,1.1887382108376583
